Time,Data
14:42:13,AXT= -0.71 AYT= 2.88 AZT= 2.96 GX= -7.05 GY= 0.12 GZ= 0.55 AXL= 0.07 AYL= -0.51 AZL= -8.74 GXYZ= 7.08
14:42:13,AXYZ= 0.51
14:42:13,the car stop moving
14:42:13,AXT= -0.73 AYT= 2.99 AZT= 3.08 GX= -6.95 GY= 0.34 GZ= 0.72 AXL= 0.07 AYL= -0.53 AZL= -8.74 GXYZ= 7.00
14:42:13,AXYZ= 0.53
14:42:13,the car stop moving
14:42:13,AXT= -0.67 AYT= 2.58 AZT= 2.67 GX= -6.84 GY= 0.17 GZ= 0.71 AXL= 0.07 AYL= -0.45 AZL= -8.74 GXYZ= 6.88
14:42:13,AXYZ= 0.46
14:42:13,the car stop moving
14:42:13,AXT= -0.74 AYT= 2.63 AZT= 2.73 GX= -6.92 GY= 0.18 GZ= 0.71 AXL= 0.08 AYL= -0.46 AZL= -8.74 GXYZ= 6.95
14:42:13,AXYZ= 0.47
14:42:13,the car stop moving
14:42:13,AXT= -0.93 AYT= 3.28 AZT= 3.41 GX= -6.76 GY= 0.17 GZ= 0.73 AXL= 0.10 AYL= -0.58 AZL= -8.74 GXYZ= 6.80
14:42:13,AXYZ= 0.59
14:42:13,the car stop moving
14:42:13,AXT= -0.83 AYT= 3.29 AZT= 3.40 GX= -6.88 GY= 0.19 GZ= 0.66 AXL= 0.08 AYL= -0.58 AZL= -8.74 GXYZ= 6.91
14:42:13,AXYZ= 0.58
14:42:13,the car stop moving
14:42:13,AXT= -0.84 AYT= 2.73 AZT= 2.86 GX= -6.81 GY= 0.08 GZ= 0.60 AXL= 0.09 AYL= -0.48 AZL= -8.74 GXYZ= 6.84
14:42:13,AXYZ= 0.49
14:42:13,the car stop moving
14:42:13,AXT= -0.83 AYT= 2.57 AZT= 2.70 GX= -6.95 GY= 0.07 GZ= 0.60 AXL= 0.10 AYL= -0.45 AZL= -8.74 GXYZ= 6.97
14:42:13,AXYZ= 0.46
14:42:13,the car stop moving
14:42:13,AXT= -0.96 AYT= 2.51 AZT= 2.69 GX= -6.97 GY= 0.29 GZ= 0.66 AXL= 0.12 AYL= -0.45 AZL= -8.75 GXYZ= 7.01
